mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[5.6],,10.1021/jacs.5b03986,Double anions
mp-2652,Y2O3,True,False,4.097300000000001,-3.953871922749999,[1.46],,10.1021/jacs.5b03986,Double anions
mp-31116,LaScO3,True,False,3.8973,-3.950563377999999,[0.3],,10.1038/ncomms1602,Chalcogenides
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.92],,10.1016/j.cej.2013.05.106,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[1.8],,10.1016/j.cej.2013.09.095,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[0.03],,10.1016/j.cej.2014.06.056,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.cej.2014.09.001,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.99],,10.1016/j.cej.2016.07.014,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.2],,10.1016/j.cej.2017.05.131,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[5.57],,10.1016/j.cej.2017.05.131,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.7],,10.1016/j.cej.2017.05.131,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.68],,10.1016/j.cej.2017.08.074,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.76],,10.1016/j.cej.2018.09.199,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[3.05],,10.1016/j.cej.2019.04.036,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.9],,10.1016/j.cej.2019.122827,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.58],,10.1016/j.cej.2019.122827,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.29],,10.1016/j.cej.2019.123135,Double anions
mp-20194,CeO2,True,False,1.8647,-3.9271761966666654,[2.72],,10.1016/j.cej.2019.123612,Double anions
