model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
random_forest,periodictablegroups,mf.periodictablegroups.k3_outer,output/split/ptgroups_rf.log,0.5170355440136252,0.568609762225252,0.32652295789241353,0.15542494979582244
random_forest,periodictablegroups,mf.periodictablegroups.k4_outer,output/split/ptgroups_rf.log,0.6813189173208201,0.6618295615851879,0.587571210860279,0.2552418111672602
random_forest,periodictablegroups,mf.periodictablegroups.k5_outer,output/split/ptgroups_rf.log,1.0814914367546633,0.8269267654118743,0.3609323158563838,-0.02858924864218837
random_forest,periodictablegroups,mf.periodictablegroups.k6_outer,output/split/ptgroups_rf.log,0.6825553736176382,0.6341758655651162,0.30931884715715224,0.2961588327727782
random_forest,periodictablegroups,mf.periodictablegroups.k7_outer,output/split/ptgroups_rf.log,0.6830556085582402,0.6522159762107488,0.31987857231175587,0.36070634395337864
random_forest,periodictablegroups,mf.periodictablegroups.k8_outer,output/split/ptgroups_rf.log,1.0060387591380187,0.8532259787929556,0.5254753170569749,-0.05265541316438793
random_forest,periodictablegroups,mf.periodictablegroups.k9_outer,output/split/ptgroups_rf.log,0.5311503694516168,0.5584891686264918,0.33396866111578294,0.5225139407183024
svr,periodictablegroups,mf.periodictablegroups.k0_outer,output/split/ptgroups_svr.log,0.6921285480604868,0.6313242134566608,0.3756082957303102,0.33140012186160894
svr,periodictablegroups,mf.periodictablegroups.k1_outer,output/split/ptgroups_svr.log,1.2195609748131788,0.8571624349425263,0.352741917071287,-0.2295721064216918
svr,periodictablegroups,mf.periodictablegroups.k2_outer,output/split/ptgroups_svr.log,0.6653610293295661,0.6321663308882366,0.314130859058748,0.34741484487449215
svr,periodictablegroups,mf.periodictablegroups.k3_outer,output/split/ptgroups_svr.log,0.678713381485866,0.6294164445192063,0.31776289185069573,-0.10867501253949863
svr,periodictablegroups,mf.periodictablegroups.k4_outer,output/split/ptgroups_svr.log,0.6992329291899569,0.6585637338674902,0.4961422503153468,0.23565978181916813
svr,periodictablegroups,mf.periodictablegroups.k5_outer,output/split/ptgroups_svr.log,2.8163950398162583,1.4535748750275248,0.5500986883260252,-1.6786283824652761
svr,periodictablegroups,mf.periodictablegroups.k6_outer,output/split/ptgroups_svr.log,0.8324884947038143,0.7131296590804882,0.3409993308309704,0.1415499804653152
svr,periodictablegroups,mf.periodictablegroups.k7_outer,output/split/ptgroups_svr.log,0.740160166841888,0.6636437956257328,0.3260648026480707,0.3072603559771774
svr,periodictablegroups,mf.periodictablegroups.k8_outer,output/split/ptgroups_svr.log,1.2464281828784491,0.9320565591880005,0.5601676765594474,-0.30418372245601466
svr,periodictablegroups,mf.periodictablegroups.k9_outer,output/split/ptgroups_svr.log,0.6182125773025002,0.5610634364735418,0.3665723537677624,0.4442479864236605
