split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category_no_pretrain,Silicides,cartnet_prop,0.7271175384521484,,0.907236099243164,,-1.3538763523101809,,0.7271174788475037,,0.9072359800338744,,-1.3538756370544434,,1,1,1,1,1,1
category_no_pretrain,Silicides,cgcnn,0.7876704931259155,,0.8671419024467468,,-2.059426784515381,,0.7876704931259155,,0.8671419024467468,,-2.059426784515381,,1,1,1,1,1,1
category_no_pretrain,Silicides,chgnet,0.3987950682640075,,0.4427705109119415,,0.2132858633995056,,0.3987950980663299,,0.4427705407142639,,0.2132858037948608,,1,1,1,1,1,1
category_no_pretrain,Silicides,chgnet_prop,0.8279407024383545,,1.0223995447158811,,-1.965214729309082,,0.8279407024383545,,1.0223995447158811,,-1.965214729309082,,1,1,1,1,1,1
category_no_pretrain,Silicides,leftnet_prop,1.0793418884277344,,1.2740702629089355,,-4.149413108825684,,1.0793418884277344,,1.2740702629089355,,-4.149413108825684,,1,1,1,1,1,1
category_no_pretrain,Silicides,leftnet_z,1.1349272727966309,,1.3134167194366455,,-4.410351753234863,,1.1349272727966309,,1.3134167194366455,,-4.410351753234863,,1,1,1,1,1,1
crystalsys,crystalsys,alignn_prop,0.601489394903183,0.09320760800155987,0.30606270262173235,0.050552021768079575,0.37602538083280834,0.11800036984520659,0.601489394903183,0.09320760800155987,0.30606270262173235,0.050552021768079575,0.37602538083280834,0.11800036984520659,7,7,7,7,7,7
crystalsys,crystalsys,alignn_z,0.6485106732164111,0.12640999396053915,0.3160557278564998,0.05938278079051037,0.27620277873107363,0.21321616523681997,0.6485106732164111,0.12640999396053915,0.3160557278564998,0.05938278079051037,0.27620277873107363,0.21321616523681997,7,7,7,7,7,7
crystalsys,crystalsys,cartnet_prop,0.6500699179513114,0.09287911898674607,0.322861624615533,0.06251188753621106,0.10409573731677871,0.29541456363877383,0.6500699179513114,0.0928791572500149,0.3228616288730076,0.06251188681452219,0.05470810404845645,0.41418138636443175,7,7,7,7,7,7
crystalsys,crystalsys,cartnet_z,0.672074692589896,0.08962555068134151,0.3425373775618417,0.07065628495572275,-0.08168394836996286,0.966614569486037,0.6720746585300991,0.08962552160415115,0.3425373775618417,0.07065627931381278,-0.10405104128377782,1.013309614276577,7,7,7,7,7,7
crystalsys,crystalsys,cgcnn,0.6185718689646039,0.1301736843720663,0.3189928148474012,0.08433220504166608,0.20807693898677823,0.4024893172601112,0.6185718689646039,0.1301736843720663,0.3189928148474012,0.08433220504166608,0.20807693898677823,0.4024893172601112,7,7,7,7,7,7
crystalsys,crystalsys,chgnet_prop,0.7522772209984916,0.0930674151624182,0.3952829539775848,0.06904905259407042,0.09106572770646638,0.20584420868035488,0.7522772209984916,0.09306741734203888,0.3952829539775848,0.06904905259407042,0.09106577028121264,0.205844231174626,7,7,7,7,7,7
crystalsys,crystalsys,chgnet_z,0.6615182757377625,0.12814448960996036,0.35654525671686443,0.08870275069617946,0.25840842271489756,0.1687154697518829,0.6615182757377625,0.12814448960996036,0.3565452652318137,0.08870276760130136,0.2584084389465195,0.16871547885948232,7,7,7,7,7,7
crystalsys,crystalsys,leftnet_prop,0.6438747814723423,0.1308721038800181,0.32989209038870676,0.06694186916824278,0.2928148167473929,0.20934506751853774,0.6438748240470886,0.13087211732972986,0.32989209464618136,0.06694187716743999,0.29281481994049885,0.2093450587902996,7,7,7,7,7,7
crystalsys,crystalsys,leftnet_z,0.653603059904916,0.09089024947775727,0.35033948932375225,0.04948455302080204,0.31343337893486023,0.17131694809450557,0.6536030684198652,0.09089025198147548,0.35033948506627766,0.049484575397704754,0.3134333799992289,0.17131693171074536,7,7,7,7,7,7
crystalsys,mf.crystalsys.k0_outer,linear_regression,0.7183578756149988,,0.4281054072606409,,0.4090057493116784,,0.7183578756149988,,0.4281054072606409,,0.4090057493116784,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k0_outer,random_forest,0.667497820336079,,0.3906402030393713,,0.4679381320420369,,0.667497820336079,,0.3906402030393713,,0.4679381320420369,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k0_outer,svm,0.5880110663260346,,0.3215209235753504,,0.5559655056814256,,0.5880110663260346,,0.3215209235753504,,0.5559655056814256,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k1_outer,linear_regression,0.607421248894648,,0.3229239622720662,,0.44366568981538,,0.607421248894648,,0.3229239622720662,,0.44366568981538,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k1_outer,random_forest,0.540874509716737,,0.2976478141287541,,0.5265237441930171,,0.540874509716737,,0.2976478141287541,,0.5265237441930171,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k1_outer,svm,0.5415576129916564,,0.2924385618226993,,0.5148796419743706,,0.5415576129916564,,0.2924385618226993,,0.5148796419743706,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k2_outer,linear_regression,0.8466435670852661,,0.4076632857322693,,0.0535567998886108,,0.8466435670852661,,0.4076632857322693,,0.0535567998886108,,1,1,1,1,1,1
crystalsys,mf.crystalsys.k2_outer,random_forest,0.694424479073543,,0.3313177057274769,,0.3520281961144056,,0.694424479073543,,0.3313177057274769,,0.3520281961144056,,1,1,1,1,1,1
